Artists,Title,Song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Mantar,Death by Burning,spotify:track:4XRW58o2yN82EL0gU1453c,0.401,0.934,6,-3.489,1,0.086,6.06e-06,0.786,0.0791,0.5,107.245,audio_features,4XRW58o2yN82EL0gU1453c,spotify:track:4XRW58o2yN82EL0gU1453c,https://api.spotify.com/v1/tracks/4XRW58o2yN82EL0gU1453c,https://api.spotify.com/v1/audio-analysis/4XRW58o2yN82EL0gU1453c,148813,4
Mantar,Death by Burning,spotify:track:48Ak2tr0cqYF9X64fiYgHX,0.333,0.986,4,-3.343,1,0.15,0.000574,0.00379,0.154,0.196,150.242,audio_features,48Ak2tr0cqYF9X64fiYgHX,spotify:track:48Ak2tr0cqYF9X64fiYgHX,https://api.spotify.com/v1/tracks/48Ak2tr0cqYF9X64fiYgHX,https://api.spotify.com/v1/audio-analysis/48Ak2tr0cqYF9X64fiYgHX,292813,4
Mansun,Legacy: The Best of Mansun,spotify:track:5T9fwd1QDS3y1J9e49lQ6Y,0.443,0.691,8,-6.751,0,0.0901,0.0743,0,0.287,0.305,157.009,audio_features,5T9fwd1QDS3y1J9e49lQ6Y,spotify:track:5T9fwd1QDS3y1J9e49lQ6Y,https://api.spotify.com/v1/tracks/5T9fwd1QDS3y1J9e49lQ6Y,https://api.spotify.com/v1/audio-analysis/5T9fwd1QDS3y1J9e49lQ6Y,120093,4
Mansun,Little Kix,spotify:track:3b5riHVzl2s1VGNi7BQVme,0.548,0.862,9,-6.697,0,0.0617,0.0285,7.98e-05,0.499,0.353,135.214,audio_features,3b5riHVzl2s1VGNi7BQVme,spotify:track:3b5riHVzl2s1VGNi7BQVme,https://api.spotify.com/v1/tracks/3b5riHVzl2s1VGNi7BQVme,https://api.spotify.com/v1/audio-analysis/3b5riHVzl2s1VGNi7BQVme,287600,4
The Mamas & The Papas,Deliver,spotify:track:1mFrjW8e8fuAOowlU3Q3Dr,0.396,0.452,7,-8.809,1,0.0326,0.814,0,0.192,0.307,103.264,audio_features,1mFrjW8e8fuAOowlU3Q3Dr,spotify:track:1mFrjW8e8fuAOowlU3Q3Dr,https://api.spotify.com/v1/tracks/1mFrjW8e8fuAOowlU3Q3Dr,https://api.spotify.com/v1/audio-analysis/1mFrjW8e8fuAOowlU3Q3Dr,178733,4
Boney M.,Fantastic Boney M.,spotify:track:67hbP9PFQZrb4XZc3TzB0s,0.694,0.719,6,-12.734,0,0.048,0.47,0.00121,0.44,0.972,126.212,audio_features,67hbP9PFQZrb4XZc3TzB0s,spotify:track:67hbP9PFQZrb4XZc3TzB0s,https://api.spotify.com/v1/tracks/67hbP9PFQZrb4XZc3TzB0s,https://api.spotify.com/v1/audio-analysis/67hbP9PFQZrb4XZc3TzB0s,220733,4
Machine Head,Bloodstone & Diamonds,spotify:track:27oqpECc2wygxRAIBCgxHa,0.237,0.984,1,-4.017,1,0.174,0.000372,3.83e-06,0.0841,0.285,98.231,audio_features,27oqpECc2wygxRAIBCgxHa,spotify:track:27oqpECc2wygxRAIBCgxHa,https://api.spotify.com/v1/tracks/27oqpECc2wygxRAIBCgxHa,https://api.spotify.com/v1/audio-analysis/27oqpECc2wygxRAIBCgxHa,396737,3
Lift To Experience,The Texas-Jerusalem Crossroads,spotify:track:4Oli98vSkESvOm5gpOTgxk,0.243,2.03e-05,2,-5.97,0,0.0544,0.000373,0.701,0.111,0.122,124.418,audio_features,4Oli98vSkESvOm5gpOTgxk,spotify:track:4Oli98vSkESvOm5gpOTgxk,https://api.spotify.com/v1/tracks/4Oli98vSkESvOm5gpOTgxk,https://api.spotify.com/v1/audio-analysis/4Oli98vSkESvOm5gpOTgxk,1745107,3
Train,California 37,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,0.765,0.837,1,-3.113,0,0.032,0.00107,1.06e-05,0.0801,0.721,122.028,audio_features,0KAiuUOrLTIkzkpfpn9jb9,spotify:track:0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/tracks/0KAiuUOrLTIkzkpfpn9jb9,https://api.spotify.com/v1/audio-analysis/0KAiuUOrLTIkzkpfpn9jb9,195973,4
Big Black,Songs About Fucking (Remastered),spotify:track:0mNgBYS96QR0Edg2NcX24k,0.49,0.658,0,-11.068,1,0.0437,3.2e-06,0.214,0.0665,0.661,124.158,audio_features,0mNgBYS96QR0Edg2NcX24k,spotify:track:0mNgBYS96QR0Edg2NcX24k,https://api.spotify.com/v1/tracks/0mNgBYS96QR0Edg2NcX24k,https://api.spotify.com/v1/audio-analysis/0mNgBYS96QR0Edg2NcX24k,155000,4
