Artists,Title,Song_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
PnB Rock,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",spotify:track:5de7ci7TFqbQ1PFgKAD7MR,0.703,0.661,6,-3.885,1,0.0539,0.0517,0,0.34,0.495,149.906,audio_features,5de7ci7TFqbQ1PFgKAD7MR,spotify:track:5de7ci7TFqbQ1PFgKAD7MR,https://api.spotify.com/v1/tracks/5de7ci7TFqbQ1PFgKAD7MR,https://api.spotify.com/v1/audio-analysis/5de7ci7TFqbQ1PFgKAD7MR,249240,4
Christon Gray,Stop Me (Remix) (feat. JGivens),spotify:track:7qEOfPQrLUL3DVpanQ5rFX,0.681,0.68,10,-9.247,0,0.192,0.128,0,0.0658,0.485,87.957,audio_features,7qEOfPQrLUL3DVpanQ5rFX,spotify:track:7qEOfPQrLUL3DVpanQ5rFX,https://api.spotify.com/v1/tracks/7qEOfPQrLUL3DVpanQ5rFX,https://api.spotify.com/v1/audio-analysis/7qEOfPQrLUL3DVpanQ5rFX,211364,4
Trip Lee,Rise,spotify:track:0WfkSW6JHHZ7OTQRN13fXL,0.598,0.735,3,-6.337,0,0.115,0.33,1.51e-06,0.126,0.289,139.951,audio_features,0WfkSW6JHHZ7OTQRN13fXL,spotify:track:0WfkSW6JHHZ7OTQRN13fXL,https://api.spotify.com/v1/tracks/0WfkSW6JHHZ7OTQRN13fXL,https://api.spotify.com/v1/audio-analysis/0WfkSW6JHHZ7OTQRN13fXL,303921,4
Trip Lee,Rise,spotify:track:34OBXUuwpqbmrGjfIZCYli,0.878,0.636,9,-7.073,1,0.209,0.0304,0,0.192,0.64,135.068,audio_features,34OBXUuwpqbmrGjfIZCYli,spotify:track:34OBXUuwpqbmrGjfIZCYli,https://api.spotify.com/v1/tracks/34OBXUuwpqbmrGjfIZCYli,https://api.spotify.com/v1/audio-analysis/34OBXUuwpqbmrGjfIZCYli,248217,4
Trip Lee,Rise,spotify:track:2VBo6OXRntDFDCzeXYZq7D,0.847,0.664,8,-6.225,1,0.164,0.124,0,0.278,0.828,139.977,audio_features,2VBo6OXRntDFDCzeXYZq7D,spotify:track:2VBo6OXRntDFDCzeXYZq7D,https://api.spotify.com/v1/tracks/2VBo6OXRntDFDCzeXYZq7D,https://api.spotify.com/v1/audio-analysis/2VBo6OXRntDFDCzeXYZq7D,230570,4
Trip Lee,I Can Wait,spotify:track:2phpaw75U9XFZcWvnGfW6p,0.639,0.431,9,-8.402,0,0.143,0.273,0,0.304,0.328,99.03,audio_features,2phpaw75U9XFZcWvnGfW6p,spotify:track:2phpaw75U9XFZcWvnGfW6p,https://api.spotify.com/v1/tracks/2phpaw75U9XFZcWvnGfW6p,https://api.spotify.com/v1/audio-analysis/2phpaw75U9XFZcWvnGfW6p,215874,4
Trip Lee,The Good Life,spotify:track:4fryOnX5Xz5sg1UHCwd7bF,0.657,0.87,11,-4.55,1,0.175,0.137,0,0.102,0.523,145.054,audio_features,4fryOnX5Xz5sg1UHCwd7bF,spotify:track:4fryOnX5Xz5sg1UHCwd7bF,https://api.spotify.com/v1/tracks/4fryOnX5Xz5sg1UHCwd7bF,https://api.spotify.com/v1/audio-analysis/4fryOnX5Xz5sg1UHCwd7bF,265453,4
Trip Lee,The Good Life,spotify:track:5AppbJGNc7BQn5n0hloufJ,0.388,0.628,9,-8.017,0,0.153,0.33,0,0.0728,0.22,85.18,audio_features,5AppbJGNc7BQn5n0hloufJ,spotify:track:5AppbJGNc7BQn5n0hloufJ,https://api.spotify.com/v1/tracks/5AppbJGNc7BQn5n0hloufJ,https://api.spotify.com/v1/audio-analysis/5AppbJGNc7BQn5n0hloufJ,280013,4
The Police,Message In A Box,spotify:track:6eXovJdAhh26KFdpicZScW,0.593,0.635,5,-11.474,1,0.431,0.0643,0,0.0261,0.786,133.137,audio_features,6eXovJdAhh26KFdpicZScW,spotify:track:6eXovJdAhh26KFdpicZScW,https://api.spotify.com/v1/tracks/6eXovJdAhh26KFdpicZScW,https://api.spotify.com/v1/audio-analysis/6eXovJdAhh26KFdpicZScW,194760,4
Derek Minor,Minorville,spotify:track:1FIhV5ilubnbZXnwp5V07s,0.587,0.944,10,-4.396,0,0.411,0.139,0,0.391,0.732,159.858,audio_features,1FIhV5ilubnbZXnwp5V07s,spotify:track:1FIhV5ilubnbZXnwp5V07s,https://api.spotify.com/v1/tracks/1FIhV5ilubnbZXnwp5V07s,https://api.spotify.com/v1/audio-analysis/1FIhV5ilubnbZXnwp5V07s,212293,4
Derek Minor,Minorville,spotify:track:1GVHyWR5z4imE3EIR9mtIW,0.448,0.844,6,-5.409,0,0.393,0.148,0,0.523,0.458,95.972,audio_features,1GVHyWR5z4imE3EIR9mtIW,spotify:track:1GVHyWR5z4imE3EIR9mtIW,https://api.spotify.com/v1/tracks/1GVHyWR5z4imE3EIR9mtIW,https://api.spotify.com/v1/audio-analysis/1GVHyWR5z4imE3EIR9mtIW,265173,5
Tedashii,Blacklight,spotify:track:4oxucJwIYAFv8Rr5IOwszV,0.574,0.892,1,-4.795,1,0.11,0.103,0,0.168,0.767,122.856,audio_features,4oxucJwIYAFv8Rr5IOwszV,spotify:track:4oxucJwIYAFv8Rr5IOwszV,https://api.spotify.com/v1/tracks/4oxucJwIYAFv8Rr5IOwszV,https://api.spotify.com/v1/audio-analysis/4oxucJwIYAFv8Rr5IOwszV,205093,5
Tedashii,Blacklight,spotify:track:4u5OD6BQNt2hztXYZINZNS,0.421,0.608,2,-9.319,1,0.357,0.0333,0.00314,0.26,0.256,95.012,audio_features,4u5OD6BQNt2hztXYZINZNS,spotify:track:4u5OD6BQNt2hztXYZINZNS,https://api.spotify.com/v1/tracks/4u5OD6BQNt2hztXYZINZNS,https://api.spotify.com/v1/audio-analysis/4u5OD6BQNt2hztXYZINZNS,192547,4
Herobust,I'm Aloud,spotify:track:5POIyiwMul1jOifSbvhT4w,0.666,0.962,1,-2.6,1,0.164,0.057,0.000679,0.196,0.798,75.001,audio_features,5POIyiwMul1jOifSbvhT4w,spotify:track:5POIyiwMul1jOifSbvhT4w,https://api.spotify.com/v1/tracks/5POIyiwMul1jOifSbvhT4w,https://api.spotify.com/v1/audio-analysis/5POIyiwMul1jOifSbvhT4w,224000,4
Lukas Graham,Lukas Graham,spotify:track:5ArQzSBevAdXTxRY6Ulhbq,0.712,0.799,7,-4.564,0,0.0703,0.0447,6.4e-05,0.37,0.591,83.996,audio_features,5ArQzSBevAdXTxRY6Ulhbq,spotify:track:5ArQzSBevAdXTxRY6Ulhbq,https://api.spotify.com/v1/tracks/5ArQzSBevAdXTxRY6Ulhbq,https://api.spotify.com/v1/audio-analysis/5ArQzSBevAdXTxRY6Ulhbq,206903,4
Ellie Goulding,Halcyon Days,spotify:track:44906V2WC6k59u06A8CO9D,0.68,0.799,8,-5.805,0,0.0347,0.0323,0.0459,0.123,0.744,120.031,audio_features,44906V2WC6k59u06A8CO9D,spotify:track:44906V2WC6k59u06A8CO9D,https://api.spotify.com/v1/tracks/44906V2WC6k59u06A8CO9D,https://api.spotify.com/v1/audio-analysis/44906V2WC6k59u06A8CO9D,210634,4
CAZZETTE,She Wants Me Dead (CAZZETTE vs. AronChupa ft. The High),spotify:track:2fn8m8nvi1zlGWTxfNaMgo,0.703,0.837,9,-4.933,0,0.234,0.0186,0.000161,0.0576,0.68,106.051,audio_features,2fn8m8nvi1zlGWTxfNaMgo,spotify:track:2fn8m8nvi1zlGWTxfNaMgo,https://api.spotify.com/v1/tracks/2fn8m8nvi1zlGWTxfNaMgo,https://api.spotify.com/v1/audio-analysis/2fn8m8nvi1zlGWTxfNaMgo,203510,4
Yellow Claw,Los Amsterdam,spotify:track:5L7EcEdJAZ3TEpWEfsOMLD,0.577,0.911,1,-4.449,1,0.0512,0.0186,0.0587,0.159,0.543,160.036,audio_features,5L7EcEdJAZ3TEpWEfsOMLD,spotify:track:5L7EcEdJAZ3TEpWEfsOMLD,https://api.spotify.com/v1/tracks/5L7EcEdJAZ3TEpWEfsOMLD,https://api.spotify.com/v1/audio-analysis/5L7EcEdJAZ3TEpWEfsOMLD,180150,4
Bruno Mars,Doo-Wops & Hooligans,spotify:track:386RUes7n1uM1yfzgeUuwp,0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,audio_features,386RUes7n1uM1yfzgeUuwp,spotify:track:386RUes7n1uM1yfzgeUuwp,https://api.spotify.com/v1/tracks/386RUes7n1uM1yfzgeUuwp,https://api.spotify.com/v1/audio-analysis/386RUes7n1uM1yfzgeUuwp,189109,4
Ed Sheeran,+,spotify:track:4RnCPWlBsY7oUDdyruod7Y,0.733,0.652,7,-9.101,1,0.0696,0.419,2.37e-06,0.521,0.459,99.998,audio_features,4RnCPWlBsY7oUDdyruod7Y,spotify:track:4RnCPWlBsY7oUDdyruod7Y,https://api.spotify.com/v1/tracks/4RnCPWlBsY7oUDdyruod7Y,https://api.spotify.com/v1/audio-analysis/4RnCPWlBsY7oUDdyruod7Y,200093,4
Hoodie Allen,People Keep Talking,spotify:track:2rvHIXjN4TCFuFLZk3qAxn,0.738,0.87,1,-5.343,0,0.0844,0.0124,0,0.14,0.845,89.988,audio_features,2rvHIXjN4TCFuFLZk3qAxn,spotify:track:2rvHIXjN4TCFuFLZk3qAxn,https://api.spotify.com/v1/tracks/2rvHIXjN4TCFuFLZk3qAxn,https://api.spotify.com/v1/audio-analysis/2rvHIXjN4TCFuFLZk3qAxn,205733,4
Justin Timberlake,FutureSex/LoveSounds,spotify:track:13X42np3KJr0o2LkK1MG76,0.771,0.676,4,-6.018,0,0.223,0.285,4.49e-06,0.546,0.804,119.997,audio_features,13X42np3KJr0o2LkK1MG76,spotify:track:13X42np3KJr0o2LkK1MG76,https://api.spotify.com/v1/tracks/13X42np3KJr0o2LkK1MG76,https://api.spotify.com/v1/audio-analysis/13X42np3KJr0o2LkK1MG76,276160,4
Austin Mahone,Send It (feat. Rich Homie Quan),spotify:track:1dytORtqcfaRkTqPyH2iQy,0.737,0.585,5,-6.252,1,0.0975,0.186,0,0.115,0.693,147.064,audio_features,1dytORtqcfaRkTqPyH2iQy,spotify:track:1dytORtqcfaRkTqPyH2iQy,https://api.spotify.com/v1/tracks/1dytORtqcfaRkTqPyH2iQy,https://api.spotify.com/v1/audio-analysis/1dytORtqcfaRkTqPyH2iQy,181003,4
